feature,importance
out_prncp,0.21870626830284712
out_prncp_inv,0.21870580788927438
last_fico_range_high,0.20395095721318643
issue_year,0.20004065086997583
fico_range_low,0.19921942915635166
fico_range_high,0.19921906544581194
last_fico_range_low,0.19856216882658873
recoveries,0.19668060356957665
collection_recovery_fee,0.19598572392571148
total_pymnt_inv,0.19236322391893235
total_pymnt,0.19235432623666796
int_rate,0.19083890268588327
grade,0.18626569922914735
sub_grade,0.18603521940388668
debt_settlement_flag,0.17164022888580796
last_pymnt_amnt,0.1706539850705505
total_rec_prncp,0.1676813002145683
total_rec_late_fee,0.12394064030760739
