component,coef
PC1,2.3711098882013566
PC2,-2.898495976201204
PC3,5.143292762799655
PC4,4.524418359916791
PC5,-0.5909200026806259
PC6,0.83564031624313
PC7,0.11856981853777103
PC8,-2.4158458706644663
PC9,-0.9333056874465577
PC10,-1.4829034635109168
PC11,-1.3962605345464505
PC12,-0.2755483005262998
PC13,-17.273107655636316
PC14,1.6414132078651376
PC15,-1.350697208828751
PC16,0.710106120340278
PC17,-0.3081094735950476
PC18,-0.06344240844469692
