feature,importance
num_rev_accts,0.07843074705876156
mo_sin_old_rev_tl_op,0.07740823089980772
num_bc_tl,0.07625309054776497
total_rec_int,0.07561614245953437
total_bal_ex_mort,0.07508096592129081
total_acc,0.07471637846393407
last_pymnt_amnt,0.07422402165034495
tot_hi_cred_lim,0.07419816336543096
total_rec_prncp,0.07416877483341053
revol_bal,0.07407158578524592
installment,0.07371652062133718
num_actv_rev_tl,0.07371492509040585
num_tl_op_past_12m,0.07364037022245458
home_ownership,0.07360860526430743
tot_cur_bal,0.07356940480155848
num_rev_tl_bal_gt_0,0.07351155083756876
num_il_tl,0.07323122536595712
total_rev_hi_lim,0.07266712525409079
total_il_high_credit_limit,0.07260218607327039
total_bc_limit,0.07248596083813577
acc_open_past_24mths,0.07154198216855898
total_pymnt_inv,0.07149538983585509
total_pymnt,0.07145526874631683
mo_sin_old_il_acct,0.07137175208098398
bc_open_to_buy,0.07103570746970132
mths_since_recent_bc,0.07099039196332829
mo_sin_rcnt_tl,0.07092413214383439
num_actv_bc_tl,0.0702571053244937
open_acc_6m,0.07022688880872674
mo_sin_rcnt_rev_tl_op,0.07015927052903884
term,0.0699560774336209
fico_range_high,0.06971888987053787
fico_range_low,0.06971887320744698
open_rv_12m,0.06932739045337884
inq_last_12m,0.06928267448967756
avg_cur_bal,0.06914093994641939
open_rv_24m,0.06898338184810637
num_sats,0.06878883133197623
open_acc,0.06862893239458524
mort_acc,0.06838095642432285
bc_util,0.06827426908920763
percent_bc_gt_75,0.0681091100327102
last_fico_range_low,0.06809740535302584
all_util,0.06776004262104
num_accts_ever_120_pd,0.06764670981710935
num_bc_sats,0.06761579358048188
last_fico_range_high,0.06718813194485151
inq_fi,0.06648254888445636
loan_amnt,0.06647332722117912
funded_amnt,0.06644636482225495
num_op_rev_tl,0.06641914420277215
funded_amnt_inv,0.06629612265176085
pct_tl_nvr_dlq,0.06618797090235375
open_il_24m,0.06569583356676176
num_tl_90g_dpd_24m,0.06510998106683025
out_prncp,0.06487744357677215
out_prncp_inv,0.06487731193224117
inq_last_6mths,0.06480595227372361
dti,0.06465326230987122
issue_year,0.06430010407345502
mths_since_recent_inq,0.06420861158351963
open_act_il,0.06400607039790628
revol_util,0.06377984115854067
annual_inc,0.06366619003209728
total_bal_il,0.06336956764171825
pub_rec_bankruptcies,0.06308991496512895
delinq_2yrs,0.06303328935395698
mths_since_rcnt_il,0.0629163034119872
open_il_12m,0.062353773304190604
max_bal_bc,0.06168808299006962
il_util,0.06166614159260867
total_cu_tl,0.06154919223593199
purpose,0.0614017233442463
emp_length,0.06077369180707053
y_unemployment_rate,0.06059511284939368
int_rate,0.05627787543994405
collection_recovery_fee,0.056198707433220946
grade,0.05605320634738477
recoveries,0.05602454629339612
sub_grade,0.05568314982632844
verification_status,0.05529300986201658
tax_liens,0.05371618316685809
chargeoff_within_12_mths,0.05051063782597455
debt_settlement_flag,0.04911016563805131
pub_rec,0.049034262303114286
application_type,0.048973278516409625
total_rec_late_fee,0.0449002267380741
num_tl_30dpd,0.043933320972266876
disbursement_method,0.04303644606969158
addr_state,0.042691626446483194
collections_12_mths_ex_med,0.042512484224289514
num_tl_120dpd_2m,0.04136758472872262
acc_now_delinq,0.041024635687936795
delinq_amnt,0.039584742043573366
tot_coll_amt,0.0246793662100583
hardship_flag,0.019965143591708145
pymnt_plan,0.019954273515234707
